Date,Date,Precipitation,Temperature
2010-06-01,2010-06-01,0.0,78.0
2010-06-01,2010-06-01,0.01,73.0
2010-06-01,2010-06-01,0.0,77.0
2010-06-01,2010-06-01,,69.0
2010-06-01,2010-06-01,0.03,76.0
2010-06-01,2010-06-01,0.0,71.0
2010-06-01,2010-06-01,0.0,74.0
2010-06-01,2010-06-01,0.08,70.0
2010-06-01,2010-06-01,0.03,74.0
2010-06-02,2010-06-02,0.0,78.0
2010-06-02,2010-06-02,0.03,70.0
2010-06-02,2010-06-02,0.0,76.0
2010-06-02,2010-06-02,0.0,76.0
2010-06-02,2010-06-02,0.03,71.0
2010-06-02,2010-06-02,0.0,76.0
2010-06-02,2010-06-02,0.0,76.0
2010-06-02,2010-06-02,0.0,72.0
2010-06-02,2010-06-02,0.01,76.0
2010-06-03,2010-06-03,0.0,74.0
2010-06-03,2010-06-03,0.0,78.0
2010-06-03,2010-06-03,0.1,73.0
2010-06-03,2010-06-03,0.0,72.0
2010-06-03,2010-06-03,0.14,77.0
2010-06-03,2010-06-03,0.0,76.0
2010-06-03,2010-06-03,0.0,75.0
2010-06-03,2010-06-03,0.0,78.0
2010-06-03,2010-06-03,0.0,67.0
2010-06-04,2010-06-04,0.0,73.0
2010-06-04,2010-06-04,0.0,75.0
2010-06-04,2010-06-04,0.0,75.0
2010-06-04,2010-06-04,0.0,76.0
2010-06-04,2010-06-04,0.0,73.0
2010-06-04,2010-06-04,0.01,68.0
2010-06-04,2010-06-04,0.0,72.0
2010-06-04,2010-06-04,0.0,70.0
2010-06-04,2010-06-04,0.0,74.0
2010-06-05,2010-06-05,0.0,73.0
2010-06-05,2010-06-05,0.0,77.0
2010-06-05,2010-06-05,0.0,78.0
2010-06-05,2010-06-05,0.0,76.0
2010-06-05,2010-06-05,0.0,72.0
2010-06-05,2010-06-05,0.09,79.0
2010-06-05,2010-06-05,0.0,79.0
2010-06-05,2010-06-05,0.0,74.0
2010-06-06,2010-06-06,0.0,79.0
2010-06-06,2010-06-06,0.0,73.0
2010-06-06,2010-06-06,0.0,75.0
2010-06-06,2010-06-06,0.13,74.0
2010-06-06,2010-06-06,0.0,75.0
2010-06-06,2010-06-06,0.0,77.0
2010-06-06,2010-06-06,0.0,77.0
2010-06-06,2010-06-06,0.0,78.0
2010-06-07,2010-06-07,0.44,75.0
2010-06-07,2010-06-07,0.0,77.0
2010-06-07,2010-06-07,0.0,76.0
2010-06-07,2010-06-07,0.09,74.0
2010-06-07,2010-06-07,0.12,71.0
2010-06-07,2010-06-07,0.0,77.0
2010-06-07,2010-06-07,0.02,75.0
2010-06-07,2010-06-07,0.05,69.0
2010-06-08,2010-06-08,0.0,75.0
2010-06-08,2010-06-08,0.0,78.0
2010-06-08,2010-06-08,0.01,77.0
